440	2.37322
441	2.61856
442	3.12511
443	3.45685
444	3.64926
445	3.9097
446	4.47023
447	4.76322
448	5.2856
449	5.79115
450	6.32873
451	6.74131
452	7.3463
453	8.10281
454	8.80374
455	9.35454
456	10.1946
457	11.3306
458	12.9347
459	17.0401
460	27.1911
461	46.5291
462	73.2949
463	105.494
464	142.497
465	183.303
466	225.132
467	267.728
468	310.43
469	353.332
470	396.099
471	439.84
472	483.678
473	530.328
474	576.608
475	624.073
476	670.419
477	715.703
478	753.909
479	771.72
480	768.216
481	746.688
482	710.908
483	668.192
484	622.371
485	574.212
486	529.406
487	484.81
488	442.053
489	399.48
490	356.606
491	313.555
492	268.805
493	225.23
494	179.003
495	133.518
496	90.0273
497	51.6
498	22.2299
499	6.88477
500	3.62723
501	2.86247
502	2.56095
503	2.24626
504	2.12291
505	1.80147
506	1.87514
507	1.67563
508	1.67548
509	1.62517
510	1.62386
